canonical_accession,tier,sequence_sha256,n_aliases,alias_accessions
00037|Cutinase|Cryptococcus_sp.|PBS_PCL_PHB_PLA_PHA|BAC67242,2,b5036167b75ec004cbaffaf5479cab3397aefdc7e3da5bd88e5b540a3363f07c,1,Cryptococcus
00051|Cutinase|Aspergillus_oryzae|PCL|3GBS_A,2,be107e926ea1f2277e522d90d532575dea34fa8441cf5cbc75687df846dccff5,0,
00057|Cutinase|Thermobifida_fusca|PET|ADV92528,2,118b740be61af9b719245ca7b98d74ba424a0f7824e30d5d5956a9f9be36062f,0,
00058|Cutinase|Thermobifida_cellulosilytica|PET|ADV92527,2,475978f66b115189b30755b6352f33f1feec929c2c72e24047b476598ae2957a,0,
00059|Cutinase|Thermobifida_cellulosilytica|PET|ADV92526,2,4cffecb56b06d734437cf012e10556b49381fb191f786422bc0138877cbf5682,0,
00066|PHB_depolymerase|Pseudomonas_mendocina|PHB_PHA|AEZ06355,2,b37a66fa6eb8e4e8a777b1fd001932a602878efbaa7a469730838ea45d381961,0,
00075|Cutinase|Fusarium_oxysporum|PCL_PET|5AJH_A,2,0da05a31259b5c69d3f71153cd11e67bad0477fc507d7f4b5e12fb00a73dafd5,1,Fusarium
00087|Polyesterase|Pseudomonas_pseudoalcaligenes|PBAT|AMW89397,2,364e6d87a68fab14f21da75a52b5d8e2c20559fe853f0b122e6d8967ecfc7db6,0,
00106|Cutinase|Thermobifida_fusca|PET|CBY05530,2,daf3aed624e4a70c0c912022dd2fe7d4f2426ba1ad5f889d1acc3ed98ce44279,0,
00107|Cutinase|Thermobifida_alba|PET|ADV92525,2,3c9b19bd7d27d461e1edb81ab22a19dbc186f4762211931b83219c6bcc032ff0,0,
00120|Cutinase|Pseudomonas_mendocina|PET|2FX5_A,2,3529b21da233f595b81e8b7fbbcc29651d25a76b0cde455cac32688ecd1b065f,0,
00122|Cutinase|Fusarium_solani|PET|AAA33335,2,e9da5f15bd7ba8b88588ae837c0b298999ad7a7a09169f487583d72f9eaee248,0,
00125|PETase|Uncultured_bacterium|PET|GBD22443,2,c44fd94f3c9b4a45e0f5ef0e9d334f86c03ab46bb4df1fae7674345d4a7a6a10,0,
00203|PETase|Thermobifida_fusca|PET|NA,2,d4c4ad6b30710b473234beb67999e75fe4fe8eab117fe17a94e2592e274c679e,0,
00204|PETase|Thermobifida_fusca|PET|NA,2,444cfb0379bfdb0f97ea9202a6b0bdd3eccebff198748ec541d70576f3c19930,0,
00208|PETase|Thermobifida_cellulosilytica|PET|NA,2,66caa7f60c46263ad98f5bc1dd0ae605ede9c8850fe7a300c9043b547fd4a957,0,
00251|PETase|Paractinoplanes_polyasparticus|PET|WP_221382552,2,b2c192480cc914c8507514b48fb8342ee58c404c174375ef9ffc768455dadce1,0,
00268|PETase|Microbispora_sp.|PET|WP_182904095,2,0aac803f2649bb5da18c64047fdb3e42365342ce6ade067a792d7f2e45c9711a,0,
00279|PETase|Micromonospora_saelicesensis|PET|WP_181548579,2,b1725279fbf5560c3a5a41431d4acaf085e6f7f2dca21aff8a0af91b6f013f66,0,
00282|PETase|Micromonospora_sp.|PET|WP_265247586,2,70de775909d13fe869457c1e2caafbcecc9076910f1f23dd138f59e5b6cfcb75,0,
